Symbol,Date,Open,High,Low,Close,Volume
TSLA,28-Jun-2019,220.99,225.17,220.8,223.46,6851300
TSLA,01-Jul-2019,230.21,233.0995,226.28,227.17,8237900
TSLA,02-Jul-2019,228.89,229.15,222.22,224.55,9209200
TSLA,03-Jul-2019,239.39,241.57,234.51,234.9,14201100
TSLA,05-Jul-2019,234.57,235.45,230.8,233.1,7065700
TSLA,08-Jul-2019,231.24,232.25,228.66,230.34,5880500
TSLA,09-Jul-2019,228.97,231,227.28,230.06,6190800
TSLA,10-Jul-2019,234.15,238.94,233.14,238.92,9145700
TSLA,11-Jul-2019,238.14,241.5,235.8,238.6,7514400
TSLA,12-Jul-2019,239.75,245.38,239.71,245.08,9200500
TSLA,15-Jul-2019,248,254.42,244.86,253.5,11000000
TSLA,16-Jul-2019,249.3,253.53,247.9325,252.38,8148900
TSLA,17-Jul-2019,255.67,258.31,253.35,254.86,9764700
TSLA,18-Jul-2019,255.05,255.75,251.885,253.54,4764400
TSLA,19-Jul-2019,255.69,259.96,254.62,258.18,7048400
TSLA,22-Jul-2019,258.75,262.155,254.1911,255.68,6846200
TSLA,23-Jul-2019,256.71,260.48,254.5,260.17,5023100
TSLA,24-Jul-2019,259.17,266.07,258.1601,264.88,11072800
TSLA,25-Jul-2019,234.5,234.5,225.5501,228.82,22418200
TSLA,26-Jul-2019,226.92,230.26,222.25,228.04,10027600
TSLA,29-Jul-2019,227.09,235.94,226.0325,235.77,9273300
TSLA,30-Jul-2019,232.9,243.36,232.18,242.26,8109000
TSLA,31-Jul-2019,243,246.68,236.6501,241.61,9178200
TSLA,01-Aug-2019,242.65,244.51,231.77,233.85,8259500
TSLA,02-Aug-2019,231.35,236.27,229.23,234.34,6136400
TSLA,05-Aug-2019,229.6,231.3673,225.775,228.32,7028200
TSLA,06-Aug-2019,231.88,232.5,225.75,230.75,5564200
TSLA,07-Aug-2019,226.5,233.5688,225.8,233.42,4776500
TSLA,08-Aug-2019,234.45,239.8,232.65,238.3,5270500
TSLA,09-Aug-2019,236.05,238.96,233.81,235.01,3898200
TSLA,12-Aug-2019,232.99,235.77,228.75,229.01,4663900
TSLA,13-Aug-2019,228.81,236,227.55,235,4868900
TSLA,14-Aug-2019,231.21,231.5,216.69,219.62,9562500
TSLA,15-Aug-2019,220.86,221.56,211.55,215.64,8231900
TSLA,16-Aug-2019,216.66,222.24,216.02,219.94,5207300
TSLA,19-Aug-2019,224.21,227.83,221.7,226.83,5311700
TSLA,20-Aug-2019,227.62,229.09,224.54,225.86,4170500
TSLA,21-Aug-2019,222.01,223.22,217.6,220.83,7799700
TSLA,22-Aug-2019,222.8,225.4,218.22,222.15,6564900
TSLA,23-Aug-2019,219.97,221.17,211,211.4,8559700
TSLA,26-Aug-2019,213.6,215.02,211.54,215,5054400
TSLA,27-Aug-2019,215.74,218.8,212.03,214.08,5420700
TSLA,28-Aug-2019,213.69,217.25,212.31,215.59,3238600
TSLA,29-Aug-2019,219,223.4,218,221.71,5183100
TSLA,30-Aug-2019,229.15,232.44,224.213,225.61,9327700
TSLA,03-Sep-2019,224.08,228.95,223.16,225.01,5360500
TSLA,04-Sep-2019,226.89,228.46,219.205,220.68,5768600
TSLA,05-Sep-2019,222.5,229.8,220.85,229.58,7403300
TSLA,06-Sep-2019,227.2,229.64,225.17,227.45,4189300
TSLA,09-Sep-2019,230,233.76,229.23,231.79,4802600
TSLA,10-Sep-2019,230.8,235.54,228.94,235.54,4883700
TSLA,11-Sep-2019,237.38,248.1741,236,247.1,10042700
TSLA,12-Sep-2019,247.7,253.5,244.4,245.87,8581200
TSLA,13-Sep-2019,246.96,248.45,244.865,245.2,5313100
TSLA,16-Sep-2019,246,247.43,241.17,242.81,4728000
